rfid,sex,cohort,coatcolor,dd_housing_box,dd_order_in_box,dd_squad_num,dd_box_color,dd_operant_box,dd_indiff_0,dd_indiff_2,dd_indiff_4,dd_indiff_8,dd_indiff_16,dd_indiff_24
933000320045822,M,C02,ALBINO,6,1,1,blue,11,106.923201666667,62.7920453333333,52.9481116666666,60.6077838888888,37.7620836666666,26.3229705555555
933000320045877,M,C01,ALBINO,43,1,6,blue,5,264.14726,264.861025,226.549613333333,196.27634,81.9902156666666,35.09419875
933000320045878,M,C01,BROWNHOOD,44,1,6,blue,7,234.588354,96.2890066666666,90.9041466666666,29.2203946666666,22.9534175,19.6173943333333
933000320045880,F,C01,BROWNHOOD,14,1,2,blue,11,114.028727222222,86.1311569444444,96.1298902777777,76.0104511111111,47.3850613888889,35.0276911111111
933000320045881,M,C01,BROWNHOOD,29,1,4,blue,9,177.624084444444,91.4899158333333,80.7518183333333,32.712121,35.2937216666666,18.6376991666667
933000320045882,F,C01,BROWNHOOD,21,1,3,blue,9,85.2452249999999,109.105154166667,95.4567827777777,52.8477227777777,26.42059875,14.0753253333333
933000320045883,M,C01,BROWN,43,2,6,blue,6,151.637416666667,137.674727666667,72.7307461111111,51.8886073333333,33.7029593333333,31.2289755555555
933000320045884,F,C01,BROWN,4,2,1,blue,8,103.398547777778,158.086398888889,97.0449349999999,102.667716666667,33.3060216666666,82.7606
933000320045885,M,C01,ALBINO,29,2,4,blue,10,214.74388,169.873058333333,127.46578,94.5176447222222,31.1130263888889,29.0013461111111
933000320045886,M,C01,BLACKHOOD,11,2,2,blue,6,157.043358333333,132.593644444444,127.948650555555,71.7293669444444,52.6750538888889,39.435968
933000320045887,M,C01,BROWNHOOD,19,2,3,blue,6,84.5013433333333,83.1772138888888,65.1207663888889,59.7876066666666,51.5773013888889,28.7246743333333
933000320045888,F,C01,ALBINO,14,2,2,blue,12,121.328003333333,101.125743333333,102.005651944444,47.8759630555555,32.9285594444444,26.7732147222222
933000320045889,F,C01,BROWN,32,1,4,blue,15,162.961283333333,57.35418,87.5172263333333,60.2915588888889,50.9353144444444,14.230125
933000320045891,M,C01,BROWN,28,1,4,blue,7,151.93256,53.1679633333333,38.3306863333333,28.1538129166666,30.7601594444444,15.8154663333333
933000320045892,M,C01,BROWN,16,2,2,blue,16,232.48862,106.018195833333,182.401591666666,75.5853041666666,31.0544996666666,17.1770408333333
933000320045893,M,C01,BLACK,15,2,2,blue,14,148.304505555555,144.672636333333,79.5617080555555,84.9059105555555,33.6513594444444,46.719985
933000320045894,F,C01,BLACKHOOD,34,2,5,blue,4,255.425473333333,244.733052777778,157.325451111111,196.174947222222,66.1296747222222,102.917685
933000320045895,F,C01,BLACKHOOD,37,2,5,blue,10,152.847102777778,125.029341666667,73.9986577777777,125.816390555555,72.8707886111111,71.8126897222222
933000320045896,F,C01,BLACK,34,1,5,blue,3,176.1825,64.0802355555555,77.7105369444444,105.964989722222,58.8319044444444,45.4570927777778
933000320045897,M,C01,BLACK,19,1,3,blue,5,177.89915,154.824763888889,127.3935,76.61454125,42.0681646666666,47.3747213333333
933000320045898,F,C01,BROWNHOOD,36,1,5,blue,7,128.208657777778,54.9654263888889,73.4153983333333,43.9865963333333,33.0901855555555,17.3170833333333
933000320045899,F,C01,BROWNHOOD,12,1,2,blue,7,150.759013888889,118.886545555555,57.1779975,76.6734193333333,31.4543486111111,19.434285
933000320045900,F,C01,BLACKHOOD,36,2,5,blue,8,171.499358333333,102.938766666667,125.542328888889,68.1364486111111,32.5149572222222,31.0164020833333
933000320045901,M,C01,BLACKHOOD,3,2,1,blue,6,223.084188888889,88.6213033333333,91.2033055555555,107.873884444444,35.8478683333333,55.4899583333333
933000320045907,M,C01,BROWNHOOD,30,2,4,blue,12,202.534583333333,146.798672222222,140.103737222222,99.2585099999999,53.2452627777777,44.9665926666666
933000320045910,M,C01,BROWN,30,1,4,blue,11,119.259490277778,102.612502777778,65.476645,52.6685286111111,43.0577983333333,30.2439095833333
933000320045911,M,C01,ALBINO,44,2,6,blue,8,147.581705555555,134.561266666667,114.94327,74.2978166666666,66.1964333333333,35.2515583333333
933000320045912,M,C01,BLACK,28,2,4,blue,8,145.96946,74.0726945833333,102.589413333333,66.3399894444444,24.9857905555555,14.87838625
933000320045915,F,C01,ALBINO,21,2,3,blue,10,234.483347222222,166.543660833333,133.798311111111,98.7826666666666,75.8602693333333,51.2741269444444
933000320045918,M,C01,BLACKHOOD,27,1,4,blue,5,172.520313333333,177.040825,108.108794444444,61.9590183333333,22.6953176666667,14.6951263333333
933000320045920,M,C01,BROWN,25,2,4,blue,2,197.029256666667,120.243803333333,120.933475,81.1152261111111,41.99468,31.5125741666666
933000320045921,F,C01,BLACKHOOD,4,1,1,blue,7,181.234570833333,130.759539444444,102.386125833333,61.1328177777778,34.1650995833333,21.1047561111111
933000320045924,M,C01,BROWNHOOD,2,1,1,blue,3,144.7407,117.519750833333,131.248433333333,62.7089233333333,50.382774,45.906835
933000320045925,M,C01,BLACKHOOD,25,1,4,blue,1,213.386622222222,170.625975,116.318095833333,119.563166666667,29.12884,15.1286055555555
933000320046027,M,C02,ALBINO,24,1,2,red,7,105.61915,106.402183333333,70.6612291666666,42.565692,21.3165766666667,16.7087266666667
933000320046032,M,C02,BLACKHOOD,16,1,2,blue,7,138.86795,83.4823961111111,63.0813661111111,48.3994911111111,31.4990216666667,20.8688422222222
933000320046034,F,C02,BLACK,41,1,4,blue,9,186.678158333333,151.110375,68.906331,89.3151913333333,53.8375572222222,30.6447122222222
933000320046037,M,C02,BLACK,16,2,2,blue,8,201.334936111111,186.819706666666,116.918923333333,51.232064,54.3811630555555,13.87776
933000320046038,F,C02,ALBINO,34,1,3,red,3,81.2894008333333,103.150587222222,71.7283630555555,64.8908758333333,55.1601808333333,28.1851844444444
933000320046041,F,C02,BLACKHOOD,20,2,2,blue,16,196.651794444444,142.471911111111,101.189992222222,86.0794566666666,58.7561108333333,42.9669463888889
933000320046045,M,C02,BLACKHOOD,1,2,1,blue,2,207.564066666666,180.513276666667,196.56546,121.95443,82.11685625,39.19383
933000320046046,F,C02,BLACKHOOD,34,2,3,red,4,156.39585,152.028933333333,123.70722,71.5891236666666,48.6650197222222,37.4244758333333
933000320046047,F,C02,BROWN,45,2,4,red,2,147.641938888889,136.533908333333,133.061456666667,87.024618055555493,73.6347480555555,59.5697627777777
933000320046048,F,C02,BROWNHOOD,5,2,1,blue,10,134.651616666667,120.321102777778,94.189875,64.8979030555555,38.5894888888889,65.7100491666666
933000320046050,M,C02,BROWNHOOD,6,2,1,blue,12,96.6393638888888,109.934266,65.3842872222222,48.5169461111111,26.7932925,23.05732
933000320046051,F,C01,BLACKHOOD,33,1,5,blue,1,150.770056666667,122.758545,79.3609302777777,80.5420055555555,38.7216006666666,37.8452056666666
933000320046052,M,C01,ALBINO,13,1,2,blue,9,154.504523333333,77.3456233333333,94.1577505555555,67.9657875,41.2640496666666,30.06622125
933000320046053,M,C01,BROWNHOOD,15,1,2,blue,13,148.480186111111,88.1288958333333,66.8052919444444,54.2150194444444,45.6874852777778,22.1262130555555
933000320046055,M,C01,ALBINO,11,1,2,blue,5,167.1475,157.636656666667,106.77563,69.7075347222222,39.5005180555555,25.1666913333333
933000320046056,M,C01,BLACK,35,1,5,blue,5,127.567574333333,113.671342777778,117.517241111111,80.1896405555555,58.8064056666666,23.4145036666667
933000320046057,F,C01,ALBINO,12,2,2,blue,8,147.636919444444,67.6440411111111,70.0312888888889,65.9725661111111,50.4725216666666,41.5052841666666
933000320046058,M,C01,ALBINO,1,1,1,blue,1,146.442291666667,90.54877,83.2027126666666,73.2316866666666,37.493443,25.8069716666667
933000320046059,M,C01,BLACKHOOD,22,1,3,blue,11,134.627523333333,71.6234566666666,60.666411,58.9082,54.7270027777777,36.2062566666666
933000320046060,F,C01,ALBINO,8,2,1,blue,16,174.154644444444,84.462693611111,158.288180555555,128.090198888889,57.1451703333333,31.2114075
