rfid,Sex,Squad #,ChamberColor,ChamberNumber,DelayLever,Shipment,3-cleaning-criteria (jeab paper),ObjectiveAUC-normD,Hyperbolic-k-FittedBias,Hyperbolic-k-ln,Exponential-k-FittedBias,Exponential-k-ln
25105,M,5,Blue,5,L,R,0,0.483106443,0.086594404,-2.446520087,0.057294922,-2.85954328
25107,F,7,Red,7,L,R,0,0.445372336,0.133034447,-2.017147184,0.074201461,-2.600971433
25109,M,7,Red,6,R,R,0,0.48918286,0.084120907,-2.475500143,0.05672794,-2.869488422
25110,F,7,Blue,5,L,R,0,0.72100013,0.047417715,-3.048759388,0.034475284,-3.367512621
25112,M,7,Green,6,R,R,0,0.373420457,0.120256046,-2.118132097,0.078829514,-2.540467808
25116,M,8,Green,6,L,R,0,0.750081525,0.087619169,-2.434755481,0.05730723,-2.859328484
25117,F,5,Red,6,R,R,0,0.571549819,0.095338547,-2.350321072,0.060211921,-2.80988493
25118,F,8,Blue,5,R,R,1,0.501770452,0.208097851,-1.569746871,0.107132311,-2.233690657
25120,M,6,Green,7,L,R,0,0.423415683,0.075978522,-2.57730459,0.052999954,-2.937464233
25122,F,3,Blue,8,R,R,0,0.745664069,0.078617243,-2.543164226,0.055842965,-2.88521173
25126,F,3,Red,5,L,R,0,0.455246151,0.226462297,-1.485176806,0.13172727,-2.027021631
25127,F,4,Red,5,R,R,0,0.449707441,0.245789703,-1.403278975,0.135077284,-2.001908192
25129,M,3,Blue,6,R,R,0,0.698792912,0.048180475,-3.032801429,0.040142766,-3.215313022
25131,F,2,Blue,6,L,R,0,0.561155038,0.229951963,-1.469884848,0.131143484,-2.031463257
25132,M,4,Green,7,L,R,0,0.485146811,0.143353936,-1.942438628,0.085973059,-2.453721299
25134,F,3,Red,7,L,R,1,0.609475849,0.12988838,-2.041079813,0.076704451,-2.567795544
25135,M,6,Red,5,R,R,0,0.421020503,0.232714065,-1.457944769,0.130647904,-2.035249332
25143,F,11,Blue,6,R,R,0,0.761138282,0.038260408,-3.263339646,0.029714016,-3.516136439
25144,M,4,Blue,6,L,R,0,0.387879628,0.210006941,-1.560614699,0.116720694,-2.147971427
25145,F,16,Blue,6,L,R,0,0.619585415,0.03758023,-3.281277161,0.027757011,-3.58426682
25146,M,8,Red,6,L,R,1,0.472420845,0.147618647,-1.913123037,0.085019897,-2.464869962
