,rfid,sex,cohort,coatcolor,dd_housing_box,dd_order_in_box,dd_squad_num,dd_box_color,dd_operant_box,dd_s_or_ns,locomotor_cage,locomotor_t1_age,locomotor_t2_age,locomotor_fecal_boli_box,locomotor_fecal_boli_age_1,locomotor_fecal_boli_age_2,dd_indiff_0,dd_indiff_2,dd_indiff_4,dd_indiff_8,dd_indiff_16,dd_indiff_24,dd_hyperbolic_k,dd_hyperbolic_lnk,dd_hyperbolic_b,dd_auc_trad,dd_auc_norm0,dd_quasi_h_k_beta,dd_quasi_h_s_delta,dd_expon_k,locomotor_t1_total_distance,locomotor_t1_rest_time,locomotor_t1_rest_episode_count,locomotor_t1_movement_episode_count,locomotor_t1_vertical_activity_count,locomotor_t1_center_time_legacy,locomotor_t2_total_distance,locomotor_t2_rest_time,locomotor_t2_rest_episode_count,locomotor_t2_movement_episode_count,locomotor_t2_vertical_activity_count,locomotor_t2_center_time_legacy,locomotor_fecal_boli_1,locomotor_fecal_boli_2,locomotor_fecal_boli_change,regressedlr_dd_indiff_0,regressedlr_dd_indiff_2,regressedlr_dd_indiff_4,regressedlr_dd_indiff_8,regressedlr_dd_indiff_16,regressedlr_dd_indiff_24,regressedlr_dd_hyperbolic_k,regressedlr_dd_hyperbolic_lnk,regressedlr_dd_hyperbolic_b,regressedlr_dd_auc_trad,regressedlr_dd_auc_norm0,regressedlr_dd_quasi_h_k_beta,regressedlr_dd_quasi_h_s_delta,regressedlr_dd_expon_k,regressedlr_locomotor_t1_total_distance,regressedlr_locomotor_t1_rest_time,regressedlr_locomotor_t1_rest_episode_count,regressedlr_locomotor_t1_movement_episode_count,regressedlr_locomotor_t1_vertical_activity_count,regressedlr_locomotor_t1_center_time_legacy,regressedlr_locomotor_t2_total_distance,regressedlr_locomotor_t2_rest_time,regressedlr_locomotor_t2_rest_episode_count,regressedlr_locomotor_t2_movement_episode_count,regressedlr_locomotor_t2_vertical_activity_count,regressedlr_locomotor_t2_center_time_legacy,regressedlr_locomotor_fecal_boli_1,regressedlr_locomotor_fecal_boli_2,regressedlr_locomotor_fecal_boli_change
336,933000320047768,M,C03,ALBINO,7.0,1.0,1.0,blue,13.0,s,1.0,79.0,80.0,7.0,79.0,80.0,184.841041666667,98.7513453333333,50.8678029166666,60.9912694444444,40.189487,24.9540676666667,0.403578604583968,-0.907384003344984,1.23227361111111,0.367285256782407,0.298054955872369,0.61496648078755,0.944537233514342,0.147872765933687,2438.17,408.73,145.0,156.0,1441.0,122.04,908.56,548.79,159.0,166.0,1044.0,16.72,3.0,0.0,-3.0,1.0437872087036,-0.375053701409477,-1.81271508647282,-0.146482666218422,0.215102377904603,-0.317593044606609,2.32286631145129,2.32286631145129,1.0437872087036,-0.39672003144116,-1.91381436645586,-1.03709960130423,0.368188185356806,0.860068012196957,-0.176252739007846,0.525315232555291,0.489057100568528,0.633768191879278,0.366715185000079,-0.760859721862499,-1.39256297006655,1.42480686770253,0.241431132929851,0.307652743476193,-0.358203832966929,-1.69213607349355,-0.249645271474283,-1.24001957790985,-0.775747497592327
337,933000320047769,F,C03,BLACKHOOD,39.0,2.0,4.0,blue,6.0,s,2.0,83.0,84.0,39.0,83.0,84.0,29.8988227777778,32.8166258333333,37.956035,25.3908597222222,22.3967611111111,14.3726772222222,0.0230150135431593,-3.77160851326386,0.199325485185185,0.166225037654321,0.833937704954728,0.256706887995119,0.96220267143496,0.543353452328202,3445.23,362.43,147.0,152.0,1508.0,153.5,2225.45,487.87,176.0,179.0,814.0,66.56,6.0,0.0,-6.0,-2.6621652515246,-2.82925643359807,-2.6621652515246,-2.6621652515246,-1.66801625503211,-1.7098068965379,-2.10016549284447,-2.10016549284447,-2.6621652515246,-2.65422307841797,2.12740644030774,-2.82975369713165,1.01080075595913,2.45790136074652,0.107806176183568,0.0358735982542311,0.609594636175404,0.45343092287374,0.353957906672389,0.123854041043712,-0.525315232555291,0.93814149222999,1.54470954866633,1.32247647205542,-1.16691860113532,-0.581047757280403,1.09152998414627,-0.589191998573403,-1.72573607712001
338,933000320047770,M,C03,ALBINO,16.0,2.0,2.0,blue,8.0,s,4.0,79.0,80.0,16.0,79.0,80.0,81.3315641666666,,71.4517916666666,45.8014266666666,,,0.071049160662759,-2.64438323784084,0.542210427777778,,,0.743128871750319,0.894776086179258,0.165245745950426,3350.43,261.54,115.0,126.0,1463.0,229.76,2523.34,397.4,149.0,160.0,1305.0,133.07,6.0,7.0,1.0,-1.73750463478667,,-0.568234458378018,-1.14283864589101,,,-0.99152647467733,-0.99152647467733,-1.73750463478667,,,-0.286043609854515,-1.4158060487208,1.25459084332693,0.643541471471839,-1.12842258406707,-1.16691860113532,-1.14361775773078,0.449018759499958,0.328612854561981,0.585772186561683,-0.440220484952901,-0.366715185000079,-0.0877848304603871,0.832006270016473,0.087784830460387,0.658317923323217,1.26627676432499,0.797502527255702
339,933000320047771,M,C03,BLACK,40.0,2.0,4.0,blue,8.0,s,4.0,83.0,84.0,40.0,83.0,84.0,100.160504166667,88.9465633333333,82.0528583333333,64.2870366666666,30.6517394444444,26.0679827777778,0.0903627238836565,-2.4039234430419,0.667736694444444,0.349838964583333,0.523917537397579,0.689728740519326,0.937583536994502,0.122573309536805,4532.96,272.29,117.0,127.0,1843.0,111.2,1616.74,501.32,139.0,141.0,901.0,19.23,5.0,8.0,3.0,-1.08493530351548,-0.756322808110777,-0.0720695184857699,0.0759724786099263,-0.662247682488414,-0.222647937793192,-0.614598544652628,-0.614598544652628,-1.08493530351548,-0.67323953585625,0.525315232555291,-0.605222668339697,-0.0837819320203352,0.431439177825021,1.86627300469173,-0.956870246883342,-1.04913139796397,-1.05606614395134,1.70905705431568,-0.883828955158423,-0.427086431716726,0.854754983252901,-0.963188171222743,-1.20722633252529,-0.93814149222999,-1.57154015983986,0.345485073719798,1.62810235300118,1.48126852671352
340,933000320047775,F,C03,BLACKHOOD,42.0,2.0,4.0,blue,12.0,s,4.0,84.0,85.0,42.0,84.0,85.0,176.704522222222,142.140627777778,89.88018,75.0708111111111,39.7304086111111,27.5542402777778,0.18977813914843,-1.66189957779374,1.17803014814815,0.446975392901234,0.379426106881794,1.01553922165602,0.917119124573548,0.0843906063614313,4901.11,300.17,133.0,140.0,1837.0,181.09,3538.73,388.12,146.0,155.0,1452.0,135.54,0.0,0.0,0.0,0.911938216629045,0.809284573620478,0.158295946010043,0.286043609854515,0.107915779489187,-0.173949994088383,0.77839632651743,0.77839632651743,0.911938216629045,0.290981873482267,-0.956870246883342,0.860068012196957,-1.00433453829644,-0.273899975149697,1.19900849539016,-0.724109667073398,-0.286826941354616,-0.345485073719799,1.34183272625328,0.409687806155959,0.760859721862499,-0.493553395089545,-0.431456156928572,-0.286826941354616,0.750256628086862,0.42272484635622,-0.614400484919193,-0.575006909258244,0.186680905604862
341,933000320047776,F,C03,BLACKHOOD,25.0,1.0,3.0,blue,1.0,ns,1.0,81.0,82.0,25.0,81.0,82.0,166.766022222222,74.5382480555555,126.454462333333,148.483699722222,67.2881625,30.5357902777778,0.0910794740557721,-2.39602281233366,1.11177348148148,0.624043490216049,0.561304528854643,0.845733956996812,0.965449066374671,0.0478412160114136,4517.45,302.24,119.0,130.0,2353.0,227.06,3581.45,333.26,131.0,135.0,1829.0,199.29,9.0,4.0,-5.0,0.667178089033731,-1.09100163821341,1.22109595927896,2.66216525152459,1.54050419927167,0.0976348854849635,-0.518603501118601,-0.518603501118601,0.667178089033731,1.8226099990667,0.648451200604509,0.162238538548439,1.21293341333077,-1.65548534383498,0.837652754382037,-0.67824673906293,-1.12842258406707,-1.06305205244202,2.44942561489447,0.815223556792279,0.804161593148402,-1.26718977672319,-1.57154015983986,-1.59955231920823,1.69213607349355,1.10610645494792,2.25957924739552,0.749058982249993,-1.42395810964513
342,933000320047777,M,C03,BLACK,24.0,1.0,2.0,red,7.0,s,3.0,82.0,83.0,24.0,82.0,83.0,202.082833333333,98.9779230555555,112.426520555555,94.6918194444444,95.2299038888888,40.6258775,0.176656963762872,-1.7335454847093,1.34721888888889,0.619392194135802,0.459756168239775,0.784974603611666,0.971660729000131,0.0483212775379627,2229.94,355.39,153.0,158.0,1141.0,249.17,1655.22,517.42,141.0,142.0,904.0,223.37,4.0,8.0,4.0,1.38468414798634,-0.350074152686287,0.848853649541836,1.30764487458456,2.38267201484242,1.19181617168139,0.55456454373236,0.55456454373236,1.38468414798634,1.88950996033343,0.0159410775089853,-0.115075734509826,1.85452143613234,-1.79294720409457,-0.37525318670892,0.0079702855763906,0.866296648075625,0.755547557067763,-0.854754983252901,0.466720972203649,-0.392412330042016,1.00193456195736,-0.854754983252901,-1.14361775773078,-0.925836411210392,0.849026665402385,0.0039851111435712,1.67492450694208,1.74370701754201
343,933000320047779,M,C03,BLACK,10.0,1.0,1.0,red,3.0,s,3.0,78.0,79.0,10.0,78.0,79.0,145.609063888889,109.582503333333,85.4144806666666,72.361315,,,0.15151332191845,-1.88708172444352,0.970727092592592,,,0.811403593176023,0.932315140575669,0.114462475047946,3335.89,193.73,106.0,118.0,1628.0,204.63,2579.78,291.21,136.0,144.0,1419.0,117.5,0.0,0.0,0.0,0.185949361819406,0.003898343115921,0.0330904172766755,0.405945549894443,,,0.237702555797969,0.237702555797969,0.185949361819406,,,-0.0175161553469982,-0.273899975149697,0.269861144387024,0.624055076879189,-2.3762823257272,-1.62887901765941,-1.61404215463009,1.01518867442312,0.11181537899168,0.643541471471839,-1.6596775786757,-1.20722633252529,-1.00193456195736,1.33209221345111,-0.02391288237921,-1.45860416771351,-1.22297912833447,0.322841493870049
344,933000320047780,M,C03,BROWN,7.0,2.0,1.0,blue,14.0,ns,2.0,78.0,79.0,7.0,78.0,79.0,114.446345,157.645691666667,59.16118,83.0793347222222,37.8390819444444,39.2691216666666,0.0742166276242463,-2.60076706194268,0.762975633333333,0.434857338580247,0.569949182623849,0.971047481469913,0.923049894410946,0.0843349410498533,1937.6,342.4,145.0,156.0,1364.0,196.84,682.71,592.89,175.0,176.0,854.0,150.38,2.0,4.0,2.0,-0.619306769508776,1.18013349944179,-1.4373410223063,0.865715928616606,-0.0646690572132546,1.05014643215966,-0.923800754858572,-0.923800754858572,-0.619306769508776,0.316020060952124,0.771549054390448,0.638279236751489,-0.595899696461569,-0.470218724462234,-0.787750590444633,-0.13188969182842,0.493553395089545,0.643541471471839,0.087784830460387,0.0199268216505944,-1.61404215463009,1.62887901765941,1.15908167787936,1.0286235699285,-1.12842258406707,0.245536131339743,-0.516187627975778,0.28106255545394,1.18992357105518
345,933000320047781,F,C03,ALBINO,39.0,1.0,4.0,blue,5.0,s,1.0,81.0,82.0,39.0,81.0,82.0,174.591336111111,115.337296388889,114.681756944444,53.6161997222222,38.4956252777778,35.8605173333333,0.20263068523124,-1.5963702414236,1.16394224074074,0.422893186003086,0.363328326097998,0.910597965137227,0.9258748448472,0.0902533914687167,6072.26,218.04,98.0,106.0,2067.0,127.02,4982.05,294.89,135.0,145.0,1745.0,162.82,1.0,1.0,0.0,0.865715928616606,0.208104024384894,0.882828031730849,-0.821273175956279,-0.0803768982168905,0.540446874485053,0.906054829278813,0.906054829278813,0.865715928616606,0.0039851111435712,-1.17482785656935,0.487680173248951,-0.633514805548483,-0.0681676558990974,1.99443141288806,-2.12740644030774,-2.21112724108533,-2.44942561489447,2.05638285074348,-0.241431132929851,1.99443141288806,-1.86627300469173,-1.34183272625328,-0.907637164281146,1.47024860300235,0.62890421763219,0.0,0.219278484411994,0.194810373153431
346,933000320047782,F,C03,BLACKHOOD,38.0,1.0,4.0,blue,3.0,s,3.0,82.0,83.0,38.0,82.0,83.0,181.7842,118.182819444444,78.0915127777777,64.464725,34.793785,33.3746876666666,0.267245411929478,-1.31958789693444,1.21189466666667,0.403072710524691,0.332597148589942,0.814802836006076,0.929663248835368,0.104699770807518,4037.34,269.26,125.0,132.0,1727.0,165.96,3272.49,330.93,156.0,168.0,1643.0,289.87,6.0,0.0,-6.0,1.05730443289718,0.321203753895192,-0.364026113746365,-0.107242911450679,-0.366405521810837,0.355490417839531,1.4373410223063,1.4373410223063,1.05730443289718,-0.147987109725839,-1.76299441966828,0.0058384530639019,-0.492068658699456,0.197843255694694,0.525315232555291,-1.16691860113532,-0.793197168306389,-0.93197131234319,1.06305205244202,0.299306910465667,0.571637525165086,-1.35170223993066,0.245536131339743,0.62890421763219,1.32247647205542,1.6596775786757,1.10610645494792,-0.560936591193041,-1.69137957240162
347,933000320047783,F,C03,BROWN,42.0,1.0,4.0,blue,11.0,s,3.0,83.0,84.0,42.0,83.0,84.0,144.210646666667,95.4346972222222,76.55581375,57.7075488888889,24.8231605555555,25.0861794444444,0.225356250026247,-1.4900727954786,0.961404311111111,0.336089660532407,0.349582019394091,0.721960629602363,0.924659304319075,0.136845364195067,3748.92,417.77,141.0,149.0,1289.0,476.47,3507.08,419.41,181.0,187.0,1439.0,386.86,2.0,4.0,2.0,0.118994765167898,-0.421478223107546,-0.418658350570114,-0.523061182912221,-1.43403421206197,-0.428545563698152,1.12068408192913,1.12068408192913,0.118994765167898,-0.944347596607748,-1.41389516153137,-0.359870338590735,-0.647851897218727,0.752312164719021,0.328612854561981,0.595260557832843,0.282676954980495,0.26199832377437,-0.245536131339743,1.88950996033343,0.729299039101725,0.0638048753740953,1.80202081741717,1.93930484790457,0.729299039101725,2.05638285074348,0.22096557594265,0.759669391361225,1.23145465487962
348,933000320047784,M,C03,ALBINO,24.0,2.0,2.0,red,8.0,s,4.0,81.0,82.0,24.0,81.0,82.0,228.547854166667,166.581306666667,113.10013,78.3936833333333,24.3342666666667,15.9322186111111,0.260751205719194,-1.34418856106902,1.52365236111111,0.452715545910494,0.297125221911089,1.38521083749154,0.87869880412493,0.0822546518104408,2904.79,265.83,131.0,138.0,1874.0,74.1,2250.62,286.41,132.0,141.0,1596.0,72.84,0.0,0.0,0.0,1.89984536094188,1.43651670817011,0.906054829278813,0.652660527183368,-1.25960331244318,-1.2952381291284,1.35484847520816,1.35484847520816,1.89984536094188,0.576336261695426,-2.16736967983524,1.64035355167513,-1.87670157826139,-0.545508659106146,0.127870834327565,-1.06305205244202,-0.345485073719799,-0.475626878997011,1.78216836103315,-1.36170520489978,0.358203832966929,-1.8226099990667,-1.43589090698824,-1.19087084261839,1.96612148892947,-0.62890421763219,-1.41389516153137,-1.21459055495733,0.331262969335628
349,933000320047785,M,C03,BROWN,43.0,2.0,4.0,blue,14.0,s,2.0,83.0,84.0,43.0,83.0,84.0,138.2355,103.646508333333,81.7265944444444,63.6616138888889,34.0509072222222,30.4534713888889,0.163856178946884,-1.8087661935512,0.921569999999999,0.379694201851852,0.412007988380537,0.751205705267131,0.934974189727956,0.111093947842736,2058.54,463.6,139.0,139.0,977.0,414.2,1666.64,478.62,177.0,185.0,889.0,279.19,8.0,4.0,-4.0,0.0369850895654964,-0.220070196934429,-0.103328995936055,0.0369850895654964,-0.328957912640491,0.206362275338668,0.414413329600076,0.414413329600076,0.0369850895654964,-0.200592161038666,-0.484570671510905,-0.269861144387024,-0.185949361819406,0.217729661462491,-0.595260557832843,1.21552651612008,0.119839245113191,-0.409687806155959,-1.64408337024815,1.28518358069407,-0.366715185000079,0.59050972677956,1.29433859803491,1.55798466257325,-0.988854163999001,1.14361775773078,1.26718977672319,0.289376869509997,-1.17387309673084
