"","rfid","sex","cohort","coatcolor","dd_housing_box","dd_order_in_box","dd_squad_num","dd_box_color","dd_operant_box","dd_indiff_0","dd_indiff_2","dd_indiff_4","dd_indiff_8","dd_indiff_16","dd_indiff_24","bias","traparea0_2","traparea2_4","traparea4_8","traparea8_16","traparea16_24","AUC","hyperbolic_bias_k","hyperbolic_bias_residualSS","hyperbolic_bias_r2","hyperbolic_k","hyperbolic_residualSS","hyperbolic_r2","exponential_bias_k","exponential_bias_residualSS","exponential_bias_r2","exponential_k","exponential_residualSS","exponential_r2"
"280","933000320047633","F","C03","BLACK",6,2,1,"blue",12,92.5063533333333,88.9681469444444,88.9018902777777,89.7316044444444,38.2833027777778,23.1787905555555,0.616709022222222,0.0504095834104938,0.0494083436728395,0.0992408304012345,0.142238785802469,0.0682912148148148,0.409588758101852,0.0524913400040899,1246.06256821127,0.740981452493278,0.166975696627952,4561.37468352073,0.0518287963216043,0.0413755547802251,879.443676828154,0.817190380645976,0.0920927268184756,5190.52431439831,-0.0789522958255049
"281","933000320047634","F","C03","BLACKHOOD",33,1,3,"red",1,118.122586111111,71.0703138888888,94.3193766666666,59.3639655555555,30.6216227777778,25.9786366666667,0.787483907407407,0.0525535833333333,0.0459415807098765,0.0853796345679012,0.099983987037037,0.0628891771604939,0.346747962808642,0.139344606133204,844.464238740792,0.868868365116979,0.239766419353645,2327.94835385925,0.638507281231949,0.0826998698907426,1031.45981741539,0.839830976885998,0.127556888880764,3584.60981122254,0.443368086653089
"282","933000320047635","F","C03","BLACKHOOD",11,2,1,"red",6,195.475236666666,88.4290586111111,82.7826855555555,86.4300146666666,51.6428553333333,41.3973661111111,1.30316824444444,0.078862304243827,0.047558817824074,0.0940070556790123,0.1534143,0.10337802382716,0.477220501574074,0.289909825134457,2636.02828296879,0.824492891752557,0.148786526370607,3381.47157625494,0.774861179675569,0.148714693030517,6987.72646650092,0.53475625687199,0.079945236198094,4832.21992009399,0.678270164978564
"283","933000320047636","F","C03","ALBINO",2,2,1,"blue",4,108.536250333333,52.9636719444444,47.6192686666666,51.736217,26.2039093333333,16.4467116666667,0.72357500222222,0.0448610895216048,0.0279397057253086,0.055197492037037,0.0866001403703703,0.0473895788888889,0.26198800654321,0.273822709087691,666.979276464438,0.870085506726383,0.53387283719738,2785.65184216074,0.457409607342835,0.138867542495006,1693.13990070156,0.670209525238954,0.29251122349309,4928.93620907113,0.0399398113629373
"284","933000320047638","M","C03","BLACKHOOD",40,1,4,"blue",7,56.7232358333333,40.4240958333333,43.6577223333333,39.0643283333333,22.2391505555555,22.650745,0.378154905555555,0.0269853699074074,0.0233560606018518,0.0459566948148148,0.0681149765432098,0.049877661728395,0.214290763595679,0.0782340835902152,109.381825409733,0.874537961249583,0.7443984014936,9764.82741248377,-10.2003539036492,0.0508386216881817,168.898963655289,0.806271213305793,0.415435292827935,11684.2180596373,-12.4019140151971
"285","933000320047639","M","C03","BLACKHOOD",27,2,3,"blue",6,148.248789722222,116.358753333333,78.6295972222222,52.0792458333333,23.8132483333333,25.2367627777778,0.988325264814813,0.0735020952932097,0.0541634307098764,0.0726160239197531,0.0843249935185184,0.054500012345679,0.339106555787037,0.212890648345821,260.617164112873,0.979488073279762,0.217750675830946,247.346516520604,0.980532542288046,0.126297874621229,466.449202026035,0.963288021020259,0.128810367093306,487.328281589441,0.961644728831701
"286","933000320047640","F","C03","BLACK",33,2,3,"red",2,63.7198394444444,57.8039222222222,68.2817113333333,58.9865033333333,30.6406966666666,22.9121576666667,0.424798929629629,0.0337566004629629,0.0350237870987654,0.0707045637037037,0.0995857777777777,0.0595031714814815,0.298573900524691,0.0428188772303707,450.181353500963,0.745908725372827,0.357941152113014,8893.8112711052,-4.01984328003448,0.0345842230206728,339.969457198117,0.808114503095267,0.184193952932866,11140.2177365673,-5.28775959354026
"287","933000320047645","M","C03","BLACKHOOD",13,1,2,"blue",1,194.327791666667,103.087342222222,103.304985333333,48.18139625,25.9613195833333,9.33616666666666,1.29551861111111,0.0826153149691358,0.0573312020987653,0.0841591008796294,0.0823807953703703,0.0392194291666666,0.345705842484567,0.344007100998511,772.159116133765,0.966529778320189,0.21358071622704,2816.60969376644,0.877910460595358,0.185293714599075,1399.60359265611,0.939332397259499,0.124279958810772,2389.74167547201,0.896413599264333
"288","933000320047646","M","C03","BROWN",13,2,2,"blue",2,186.10293,150.046252777778,92.0365333333333,90.7856877777777,41.8370694444444,26.6508406666666,1.2406862,0.0933747729938272,0.0672452183641976,0.101567900617284,0.147358619135802,0.0760976779012345,0.485644189012345,0.181295180378613,752.844362234359,0.959962490904448,0.114903376525695,2663.52776899083,0.858349185267553,0.105153734815414,1211.76002490007,0.935556596486193,0.074253678507929,2191.55334117833,0.883449566427781
"289","933000320047649","M","C03","BLACK",27,1,3,"blue",5,125.85755,81.358368,116.742238888889,61.2859108333333,24.6914503333333,23.7686756666666,0.839050333333333,0.0575599772222222,0.0550279463580247,0.0989045276234568,0.0955304012962962,0.0538445844444443,0.360867436944444,0.131242126627815,1802.60787279018,0.813563501152891,0.190539254811219,2491.43243587886,0.742321140681357,0.0825041354073638,1467.25559902378,0.848247641139837,0.108683620447869,2682.57198924955,0.722552343673679
"290","933000320047677","F","C04","BROWN",19,1,2,"blue",13,205.615846996626,149.363090591085,148.019208572404,116.246743685122,64.6832196729781,50.5443423011197,1.37077231331084,0.0986052604410308,0.0826061942120803,0.146814417920848,0.201033292620111,0.128030624415664,0.657089789609734,0.118694702317218,519.786197281029,0.96913485030073,0.054490038497488,4496.71251382582,0.732983088777993,0.0724801515778549,1056.5039383335,0.937264297541743,0.0416605464723503,3915.4458616665,0.767498976902646
"291","933000320047679","M","C04","ALBINO",20,1,2,"blue",15,128.31178617275,95.8192150131001,66.834047797862,50.4032868879654,45.3797448610371,32.3098753343706,0.855411907818333,0.0622586114405139,0.0451814618919339,0.0651318526032374,0.106425590832225,0.0863218002171197,0.36531931698503,0.170002704945288,275.043934009841,0.957604052131118,0.241892492193836,905.122796378384,0.860482147958146,0.0956378072828652,1303.22194363082,0.799118167129699,0.135743220429009,2730.57997990433,0.579101691892996
